Operon	Start	Stop	Length	Orientation	Average operon coverage	Number of genes in operon	Genes in operon
MT0001	1	1524	1523	+	69.2	1	MT0001
MT0009(not expressed)	11555	11692	137	-	NOT EXPRESSED		
MT0002-MT0007	2052	10828	8776	+	100.9	6	MT0002, MT0003, MT0004, MT0005, MT0006, MT0007
MT0010	11874	12311	437	-	10.1	1	MT0010
MT0012(not expressed)	13024	13176	152	-	NOT EXPRESSED		
MT0013-MT0014	13133	13995	862	-	52.3	2	MT0013, MT0014
MT0017-MT0021	15590	23172	7582	-	36.7	5	MT0017, MT0018, MT0019, MT0020, MT0021
MT0022-MT0023	23270	25426	2156	-	195.8	2	MT0022, MT0023
MT0011-MT0016	12468	15612	3144	+	64.3	3	MT0011, MT0015, MT0016
MT0025(not expressed)	26975	27283	308	+	NOT EXPRESSED		
MT0026-MT0028	27577	29499	1922	+	88.6	3	MT0026, MT0027, MT0028
MT0029(not expressed)	29703	31049	1346	+	NOT EXPRESSED		
MT0030	31170	31487	317	+	18.4	1	MT0030
MT0030.1(not expressed)	31573	31800	227	+	NOT EXPRESSED		
MT0024	25895	26863	968	-	15.1	1	MT0024
MT0031	31805	31948	143	-	228.0	1	MT0031
MT0032(not expressed)	32031	32609	578	-	NOT EXPRESSED		
MT0033(not expressed)	32646	33098	452	+	NOT EXPRESSED		
MT0034	33168	33497	329	+	32.7	1	MT0034
MT0035(not expressed)	33526	33738	212	+	NOT EXPRESSED		
MT0036	33844	34101	257	-	53.4	1	MT0036
MT0037-MT0040	34239	38891	4652	+	9.3	4	MT0037, MT0038, MT0039, MT0040
MT0041-MT0042	39000	41122	2122	-	86.3	2	MT0041, MT0042
MT0043	41248	41856	608	+	133.9	1	MT0043
MT0044-MT0046	41948	43309	1361	-	144.9	2	MT0044, MT0046
MT0048-MT0053	46525	51671	5146	-	166.5	6	MT0048, MT0049, MT0050, MT0051, MT0052, MT0053
MT0047	43506	46415	2909	+	36.4	1	MT0047
MT0055-MT0058	52775	57917	5142	+	25.5	4	MT0055, MT0056, MT0057, MT0058
MT0054	51772	52641	869	-	36.0	1	MT0054
MT0059-MT0066	58136	64911	6775	+	148.7	8	MT0059, MT0060, MT0061, MT0062, MT0063, MT0064, MT0065, MT0066
MT0067	65496	66638	1142	+	20.9	1	MT0067
MT0068	66867	68306	1439	+	20.4	1	MT0068
MT0066.1-MT0066.2	64956	65556	600	-	284.0	2	MT0066.1, MT0066.2
MT0072	72255	74492	2237	-	91.7	1	MT0072
MT0069-MT0071	68362	72203	3841	+	73.7	3	MT0069, MT0070, MT0071
MT0074(not expressed)	75282	76193	911	+	NOT EXPRESSED		
MT0073	74610	75179	569	-	19.6	1	MT0073
MT0075	76218	77603	1385	-	16.6	1	MT0075
MT0076(not expressed)	77600	78877	1277	-	NOT EXPRESSED		
MT0077	79467	80183	716	+	16.0	1	MT0077
MT0082(not expressed)	85173	85562	389	-	NOT EXPRESSED		
MT0078-MT0081	80614	85158	4544	+	33.4	4	MT0078, MT0079, MT0080, MT0081
MT0084(not expressed)	86518	87123	605	+	NOT EXPRESSED		
MT0083	85626	86480	854	-	13.8	1	MT0083
MT0086	88194	89015	821	+	90.5	1	MT0086
MT0087-MT0089	89057	90393	1336	+	21.8	3	MT0087, MT0088, MT0089
MT0090(not expressed)	90390	92312	1922	+	NOT EXPRESSED		
MT0091	92318	93268	950	+	19.7	1	MT0091
MT0092(not expressed)	93279	93941	662	+	NOT EXPRESSED		
MT0085-MT0085.1	87198	88000	802	-	194.6	2	MT0085, MT0085.1
MT0093(not expressed)	93941	95407	1466	+	NOT EXPRESSED		
MT0096-MT0098	96917	98341	1424	+	45.2	2	MT0096, MT0098
MT0099(not expressed)	98470	99240	770	+	NOT EXPRESSED		
MT0099.1(not expressed)	99259	99630	371	+	NOT EXPRESSED		
MT0100	99674	100441	767	+	11.2	1	MT0100
MT0102	102805	103653	848	-	36.9	1	MT0102
MT0103(not expressed)	103700	104563	863	-	NOT EXPRESSED		
MT0101	100573	102858	2285	+	24.1	1	MT0101
MT0105(not expressed)	105314	106705	1391	+	NOT EXPRESSED		
MT0106-MT0110	106724	117529	10805	+	9.3	5	MT0106, MT0107, MT0108, MT0109, MT0110
MT0111	117704	119689	1985	+	47.2	1	MT0111
MT0113(not expressed)	122307	123821	1514	+	NOT EXPRESSED		
MT0112	119905	122163	2258	-	46.8	1	MT0112
MT0114(not expressed)	123970	124254	284	-	NOT EXPRESSED		
MT0115(not expressed)	124364	125560	1196	+	NOT EXPRESSED		
MT0116.1(not expressed)	130572	130697	125	+	NOT EXPRESSED		
MT0116	125655	130532	4877	-	26.5	1	MT0116
MT0118(not expressed)	131263	132864	1601	+	NOT EXPRESSED		
MT0119-MT0120	132907	135999	3092	+	47.6	2	MT0119, MT0120
MT0121-MT0123	136281	139664	3383	+	10.4	3	MT0121, MT0122, MT0123
MT0124(not expressed)	139947	140135	188	+	NOT EXPRESSED		
MT0117	130886	131092	206	-	912.8	1	MT0117
MT0125.1(not expressed)	141185	142135	950	+	NOT EXPRESSED		
MT0125	140258	140890	632	-	73.5	1	MT0125
MT0127(not expressed)	143989	145617	1628	+	NOT EXPRESSED		
MT0126	142119	143867	1748	-	11.6	1	MT0126
