Strain,Gene,No_of_mutations
TKK-01-0001.annotated.vcf,RVBD_0355c,5255
TKK-01-0001.annotated.vcf,RVBD_0305c,2101
TKK-01-0001.annotated.vcf,RVBD_1917c,2054
TKK-01-0001.annotated.vcf,RVBD_2356c,1310
TKK-01-0001.annotated.vcf,RVBD_3514,1237
TKK-01-0001.annotated.vcf,RVBD_1753c,1030
TKK-01-0001.annotated.vcf,RVBD_3327,1018
TKK-01-0001.annotated.vcf,RVBD_3343c,1017
TKK-01-0001.annotated.vcf,RVBD_3018c,974
TKK-01-0001.annotated.vcf,RVBD_1764,885
TKK-01-0001.annotated.vcf,RVBD_2814c,885
TKK-01-0001.annotated.vcf,RVBD_1756c,885
TKK-01-0001.annotated.vcf,RVBD_2479c,885
TKK-01-0001.annotated.vcf,RVBD_3326,885
TKK-01-0001.annotated.vcf,RVBD_0796,885
TKK-01-0001.annotated.vcf,RVBD_3475,885
TKK-01-0001.annotated.vcf,RVBD_2106,885
TKK-01-0001.annotated.vcf,RVBD_1369c,885
TKK-01-0001.annotated.vcf,RVBD_2355,885
TKK-01-0001.annotated.vcf,RVBD_2279,885
TKK-01-0001.annotated.vcf,RVBD_3187,885
TKK-01-0001.annotated.vcf,RVBD_2649,885
TKK-01-0001.annotated.vcf,RVBD_3380c,885
TKK-01-0001.annotated.vcf,RVBD_3185,885
TKK-01-0001.annotated.vcf,RVBD_2167c,885
TKK-01-0001.annotated.vcf,RVBD_2082,742
TKK-01-0001.annotated.vcf,RVBD_0394c,720
TKK-01-0001.annotated.vcf,RVBD_3021c,713
TKK-01-0001.annotated.vcf,RVBD_0354c,552
TKK-01-0001.annotated.vcf,RVBD_3114,531
TKK-01-0002.annotated.vcf,RVBD_3514,1307
TKK-01-0002.annotated.vcf,RVBD_3508,902
TKK-01-0002.annotated.vcf,RVBD_1450c,739
TKK-01-0002.annotated.vcf,RVBD_1452c,584
TKK-01-0002.annotated.vcf,RVBD_3511,477
TKK-01-0002.annotated.vcf,RVBD_2544,299
TKK-01-0002.annotated.vcf,RVBD_0797,298
TKK-01-0002.annotated.vcf,RVBD_1917c,245
TKK-01-0002.annotated.vcf,RVBD_1753c,241
TKK-01-0002.annotated.vcf,RVBD_1730c,222
TKK-01-0002.annotated.vcf,RVBD_0278c,210
TKK-01-0002.annotated.vcf,RVBD_0747,184
TKK-01-0002.annotated.vcf,RVBD_1135c,160
TKK-01-0002.annotated.vcf,RVBD_1574,111
TKK-01-0002.annotated.vcf,RVBD_3512,108
TKK-01-0002.annotated.vcf,RVBD_0532,107
TKK-01-0002.annotated.vcf,RVBD_0095c,106
TKK-01-0002.annotated.vcf,RVBD_3345c,103
TKK-01-0002.annotated.vcf,RVBD_1068c,100
TKK-01-0002.annotated.vcf,RVBD_2820c,83
TKK-01-0002.annotated.vcf,RVBD_0355c,80
TKK-01-0002.annotated.vcf,RVBD_2543,77
TKK-01-0002.annotated.vcf,RVBD_1045,73
TKK-01-0002.annotated.vcf,RVBD_3507,71
TKK-01-0002.annotated.vcf,RVBD_3785,70
TKK-01-0002.annotated.vcf,RVBD_1582c,65
TKK-01-0002.annotated.vcf,RVBD_1586c,64
TKK-01-0002.annotated.vcf,RVBD_0833,64
TKK-01-0002.annotated.vcf,RVBD_1581c,62
TKK-01-0002.annotated.vcf,RVBD_1584c,59
TKK-01-0003.annotated.vcf,RVBD_0355c,6305
TKK-01-0003.annotated.vcf,RVBD_3343c,5770
TKK-01-0003.annotated.vcf,RVBD_0304c,4650
TKK-01-0003.annotated.vcf,RVBD_1917c,2964
TKK-01-0003.annotated.vcf,RVBD_2823c,2123
TKK-01-0003.annotated.vcf,RVBD_0305c,2101
TKK-01-0003.annotated.vcf,RVBD_3514,1632
TKK-01-0003.annotated.vcf,RVBD_1916,1196
TKK-01-0003.annotated.vcf,RVBD_2352c,1176
TKK-01-0003.annotated.vcf,RVBD_1288,1175
TKK-01-0003.annotated.vcf,RVBD_3021c,1160
TKK-01-0003.annotated.vcf,RVBD_1753c,1053
TKK-01-0003.annotated.vcf,RVBD_2353c,1049
